feature,importance
roll15_bikes_mean,2816.31298828125
roll30_bikes_mean,792.0220947265625
util_bikes,491.1766357421875
roll60_bikes_mean,52.547447204589844
delta_docks_5m,51.73402786254883
roll15_net_bikes,45.86402130126953
hour,41.88199234008789
roll60_net_bikes,35.6486930847168
roll30_net_bikes,34.160091400146484
delta_bikes_5m,19.395540237426758
nbr_bikes_weighted,18.871673583984375
util_docks,18.572982788085938
rhum_pct,17.415807723999023
wind_kph,16.101293563842773
nbr_docks_weighted,15.87119197845459
temp_c,15.844300270080566
pres_hpa,11.813796997070312
wind_dir_deg,11.046643257141113
weather_code,10.02601432800293
dow,7.147913455963135
